login,firstName,lastName,middleName,honorificPrefix,honorificSuffix,email,title,displayName,nickName,profileUrl,secondEmail,mobilePhone,primaryPhone,streetAddress,city,state,zipCode,countryCode,postalAddress,preferredLanguage,locale,timezone,userType,employeeNumber,costCenter,organization,division,department,managerId,manager
redbeardidentity@gmail.com,Redbeard,Identity,,,,redbeardidentity@gmail.com,CEO,Redbeard Identity,,,,,,,,,,,,,,,Staff,S17001,10001,Business Operations,Global Operations,Office of the CEO,,
redbeardidentity+salesprod@gmail.com,Sales,Prod,,,,redbeardidentity+salesprod@gmail.com,Sales Associate,Sales Prod,,,,,,,,,,,,,,,Staff,S49274,20001,Sales,North America,Large Accounts,redbeardidentity@gmail.com,Redbeard Identity
redbeardidentity+salesdev@gmail.com,Sales,Dev,,,,redbeardidentity+salesdev@gmail.com,Sales Engineer,Sales Dev,,,,,,,,,,,,,,,Staff,S35235,20002,Sales,North America,Large Accounts,redbeardidentity@gmail.com,Redbeard Identity
redbeardidentity+iamprod@gmail.com,Iam,Prod,,,,redbeardidentity+iamprod@gmail.com,IAM Engineer,Iam Prod,,,,,,,,,,,,,,,Staff,S34256,30001,Information Technology,Information Security,Identity Operations,redbeardidentity@gmail.com,Redbeard Identity
redbeardidentity+iamdev@gmail.com,Iam,Dev,,,,redbeardidentity+iamdev@gmail.com,IAM Developer,Iam Dev,,,,,,,,,,,,,,,Staff,S94577,30002,Information Technology,Information Security,Identity Development,redbeardidentity@gmail.com,Redbeard Identity
redbeardidentity+networkingprod@gmail.com,Network,Prod,,,,redbeardidentity+networkingprod@gmail.com,Network Engineer,Network Prod,,,,,,,,,,,,,,,Staff,S24524,30011,Information Technology,Technology Infrastructure,Network Operations,redbeardidentity@gmail.com,Redbeard Identity
redbeardidentity+networkingdev@gmail.com,Network,Dev,,,,redbeardidentity+networkingdev@gmail.com,Network Developer,Network Dev,,,,,,,,,,,,,,,Staff,S33442,30012,Information Technology,Technology Infrastructure,Network Development,redbeardidentity@gmail.com,Redbeard Identity
redbeardidentity+cloudprod@gmail.com,Cloud,Prod,,,,redbeardidentity+cloudprod@gmail.com,Cloud Engineer,Cloud Prod,,,,,,,,,,,,,,,Staff,S12344,30013,Information Technology,Technology Infrastructure,Cloud Operations,redbeardidentity@gmail.com,Redbeard Identity
redbeardidentity+clouddev@gmail.com,Cloud,Dev,,,,redbeardidentity+clouddev@gmail.com,Cloud Developer,Cloud Dev,,,,,,,,,,,,,,,Staff,S85378,30014,Information Technology,Technology Infrastructure,Cloud Development,redbeardidentity@gmail.com,Redbeard Identity
redbeardidentity+adminassistant@gmail.com,Admin,Assistant,,,,redbeardidentity+adminassistant@gmail.com,Administrative Assistant,Admin Assistant,,,,,,,,,,,,,,,Staff,S98724,10011,Business Operations,North America,Business Administration,redbeardidentity@gmail.com,Redbeard Identity
redbeadidentity+summerintern@gmail.com,Summer,Intern,,,,redbeardidentity+summerintern@gmail.com,Intern,Summer Intern,,,,,,,,,,,,,,,Contractor,C96545,30002,Information Technology,Information Security,Identity Development,redbeardidentity+iamdev@gmail.com,Iam Dev
